Date,Symbol,Quantity,Buy Price,Current Price,Last Updated,Sector
2024-01-09,COST,0.0747,669.57,902.16,2024-09-24,Consumer Defensive
2024-01-09,CAT,0.1711,292.15,384.01,2024-09-24,Industrials
2024-01-14,TPX,1.0237,48.84,53.85,2024-09-24,Consumer Cyclical
2024-01-14,GIL,1.6087,31.08,46.84,2024-09-24,Consumer Cyclical
2024-02-19,NSC,0.0977,255.94,244.83,2024-09-24,Industrials
2024-02-19,UNP,0.1014,246.59,247.41,2024-09-24,Industrials
2024-02-19,CSX,0.6801,36.76,34.07,2024-09-24,Industrials
2024-02-19,CNI,0.1926,129.78,118.24,2024-09-24,Industrials
2024-03-22,SMCI,0.0769,974.95,465.65,2024-09-24,Technology
2024-01-09,CMCSA,0.1365,43.29,41.26,2024-09-24,Communication Services
